GENESIS-Tabelle: 21311-0003
Students: Germany, semester, nationality, sex, subject;;;;;;;;;;;
Statistics of students;;;;;;;;;;;
Germany;;;;;;;;;;;
Students (number);;;;;;;;;;;
;;;Germans;Germans;Germans;Foreigners;Foreigners;Foreigners;Total;Total;Total
;;;Male;Female;Total;Male;Female;Total;Male;Female;Total
WT 2020/21;SF141;Waste Management;53;26;79;2;-;2;55;26;81
WT 2020/21;SF002;African Studies;357;631;988;141;190;331;498;821;1319
WT 2020/21;SF138;Agricultural Biology;373;398;771;282;234;516;655;632;1287
WT 2020/21;SF125;Agricultural Economics;792;539;1331;359;240;599;1151;779;1930
WT 2020/21;SF003;Agricultural Science/Agriculture;7432;6966;14398;1143;1047;2190;8575;8013;16588
WT 2020/21;SF001;Egyptology;219;307;526;51;67;118;270;374;644
WT 2020/21;SF152;General Linguistics/Indo-European Studies;1340;3879;5219;293;948;1241;1633;4827;6460
WT 2020/21;SF188;General Literary Studies;773;3090;3863;136;454;590;909;3544;4453
WT 2020/21;SF272;Ancient History;143;90;233;9;16;25;152;106;258
WT 2020/21;SF006;American Studies;672;1564;2236;393;623;1016;1065;2187;3252
WT 2020/21;SF007;Applied Art;1370;2539;3909;149;335;484;1519;2874;4393
WT 2020/21;SF284;Applied Linguistics;974;3773;4747;209;749;958;1183;4522;5705
WT 2020/21;SF140;Applied Systems Science;1759;472;2231;606;227;833;2365;699;3064
WT 2020/21;SF008;English Studies;12664;30718;43382;1408;3976;5384;14072;34694;48766
WT 2020/21;SF009;Anthropology (Human Biology);109;335;444;75;151;226;184;486;670
WT 2020/21;SF010;Arabic/Arabic Studies;163;344;507;94;79;173;257;423;680
WT 2020/21;SF011;Work Studies/Business Studies;861;1295;2156;40;84;124;901;1379;2280
WT 2020/21;SF257;Occupational Guidance and Career Counselling;204;523;727;2;7;9;206;530;736
WT 2020/21;SF258;Labour Administration;368;916;1284;5;7;12;373;923;1296
WT 2020/21;SF012;Archaeology;2388;2709;5097;188;277;465;2576;2986;5562
WT 2020/21;SF390;Archaeometry (Archaeological Engineering);21;6;27;3;3;6;24;9;33
WT 2020/21;SF013;Architecture;14397;18405;32802;2985;4432;7417;17382;22837;40219
WT 2020/21;SF037;Archive and Documentation Science;139;241;380;15;42;57;154;283;437
WT 2020/21;SF255;Archive Studies;150;197;347;2;5;7;152;202;354
WT 2020/21;SF187;Asian Languages and Cultures/Asian Studies;442;1034;1476;229;494;723;671;1528;2199
WT 2020/21;SF014;Astrophysics and Astronomy;191;83;274;194;127;321;385;210;595
WT 2020/21;SF143;Ophthalmic Optics;225;508;733;25;49;74;250;557;807
WT 2020/21;SF117;Immigrant Education;17;125;142;27;60;87;44;185;229
WT 2020/21;SF015;Non-Europ. Lang. and Cult. in Oceania and America;78;152;230;30;75;105;108;227;335
WT 2020/21;SF259;Foreign Affairs Administration;102;158;260;1;5;6;103;163;266
WT 2020/21;SF016;Baltic Studies;3;2;5;1;2;3;4;4;8
WT 2020/21;SF265;Banking;517;316;833;8;5;13;525;321;846
WT 2020/21;SF017;Civil Engineering/Structural Engineering;32124;14087;46211;8284;3116;11400;40408;17203;57611
WT 2020/21;SF020;Mining/Mine Engineering;845;231;1076;735;223;958;1580;454;2034
WT 2020/21;SF018;Occupation-specific Foreign Language Training;438;1038;1476;56;178;234;494;1216;1710
WT 2020/21;SF270;Vocational, Business and Economics Education;717;967;1684;41;58;99;758;1025;1783
WT 2020/21;SF021;Business Administration;114157;100627;214784;12999;15217;28216;127156;115844;243000
WT 2020/21;SF262;Librarianship;18;41;59;-;1;1;18;42;60
WT 2020/21;SF023;Fine Arts/Graphics;1194;1620;2814;456;784;1240;1650;2404;4054
WT 2020/21;SF205;Sculpting/Statuary Art;105;142;247;81;119;200;186;261;447
WT 2020/21;SF025;Biochemistry;3087;4310;7397;616;1015;1631;3703;5325;9028
WT 2020/21;SF221;Bioinformatics;1257;861;2118;339;357;696;1596;1218;2814
WT 2020/21;SF026;Biology;16435;30956;47391;2725;4841;7566;19160;35797;54957
WT 2020/21;SF300;Biomedicine;615;1516;2131;344;481;825;959;1997;2956
WT 2020/21;SF282;Biotechnology;4641;6149;10790;867;1233;2100;5508;7382;12890
WT 2020/21;SF027;Ed.of Blind a.Visually Imp.(cl.w.SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2020/21;SF028;Brewing Science/Beverage Technology;513;130;643;59;20;79;572;150;722
WT 2020/21;SF260;Armed Forces Administration;248;298;546;9;5;14;257;303;560
WT 2020/21;SF031;Byzantine Studies;6;22;28;14;12;26;20;34;54
WT 2020/21;SF162;Caritas Science;25;79;104;10;14;24;35;93;128
WT 2020/21;SF032;Chemistry;22075;15010;37085;3267;3474;6741;25342;18484;43826
WT 2020/21;SF033;Chemical Engineering/Chemical Process Technology;4704;2424;7128;1007;829;1836;5711;3253;8964
WT 2020/21;SF160;Computer Linguistics;609;561;1170;228;392;620;837;953;1790
WT 2020/21;SF200;Computer and Communication Technology;3222;2061;5283;918;510;1428;4140;2571;6711
WT 2020/21;SF034;Danish;13;53;66;1;1;2;14;54;68
WT 2020/21;SF035;Performing Arts/Stagecraft/Directing;380;856;1236;142;329;471;522;1185;1707
WT 2020/21;SF271;German as a Foreign or Second Language;449;2390;2839;351;1404;1755;800;3794;4594
WT 2020/21;SF161;Pastoral Care Studies;134;182;316;11;11;22;145;193;338
WT 2020/21;SF192;Conducting;103;51;154;105;67;172;208;118;326
WT 2020/21;SF231;Printing and Reproduction Technology;568;753;1321;110;99;209;678;852;1530
WT 2020/21;SF159;Gemstone and Jewellery Design;6;30;36;10;30;40;16;60;76
WT 2020/21;SF316;Electrical Power Engineering;1367;249;1616;537;169;706;1904;418;2322
WT 2020/21;SF048;Electrical Engineering/Electronics;39500;4909;44409;17398;4448;21846;56898;9357;66255
WT 2020/21;SF211;Energy Process Engineering;3989;1013;5002;1092;354;1446;5081;1367;6448
WT 2020/21;SF320;Nutritional Science;903;4608;5511;125;597;722;1028;5205;6233
WT 2020/21;SF321;Adult Education and Extracurricular Youth Educat.;601;2096;2697;31;147;178;632;2243;2875
WT 2020/21;SF051;Ed.of People w.Emot.Diff. (cl.w. SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2020/21;SF052;Educational Science (Pedagogy);12636;44881;57517;793;3543;4336;13429;48424;61853
WT 2020/21;SF169;Ethics;342;764;1106;29;76;105;371;840;1211
WT 2020/21;SF173;Ethnology;1013;2585;3598;244;415;659;1257;3000;4257
WT 2020/21;SF024;European Ethnology and Cultural Studies;785;2295;3080;213;455;668;998;2750;3748
WT 2020/21;SF167;European Economic Studies;907;1278;2185;153;216;369;1060;1494;2554
WT 2020/21;SF544;Protestant Religious Pedagogy, Church Educat. Work;209;490;699;2;6;8;211;496;707
WT 2020/21;SF053;Protestant Theology, Protes. Religious Education;4121;6092;10213;330;260;590;4451;6352;10803
WT 2020/21;SF464;Facility Management;2046;1400;3446;100;97;197;2146;1497;3643
